lemma,pos,synonyms,hypernyms
demand,NN,demand|need|requirement,request|petition|postulation|economic process|duty|responsibility|obligation|activity|condition|status
home,NNP,abode|base|domicile|dwelling|dwelling house|family|habitation|home|home base|home plate|house|household|menage|nursing home|place|plate|rest home,residence|abode|housing|lodging|living accommodations|location|base|bag|beginning|origin|root|rootage|source|environment|unit|social unit|institution
rule,NNP,convention|dominion|formula|linguistic rule|normal|pattern|prescript|principle|regulation|rule|ruler,concept|conception|construct|practice|direction|instruction|generalization|generalisation|generality|duration|continuance|dominance|ascendance|ascendence|ascendancy|ascendency|control|law|law of nature|procedure|process|measuring stick|measure|measuring rod
look,VBD,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
campaign,NN,campaign|cause|crusade|drive|effort|hunting expedition|military campaign|movement|political campaign|run|safari,race|venture|operation|military operation|expedition
go,VBG,become|belong|blend|blend in|break|break down|buy the farm|cash in one's chips|choke|conk|conk out|croak|decease|depart|die|drop dead|endure|exit|expire|extend|fail|fit|function|get|get going|give out|give way|give-up the ghost|go|go away|go bad|hold out|hold up|kick the bucket|last|lead|live|live on|locomote|move|operate|pass|pass away|perish|plump|pop off|proceed|rifle|run|run low|run short|snuff it|sound|start|survive|travel|work,NA
succeed,VB,bring home the bacon|come after|come through|deliver the goods|follow|succeed|win,
event,NNS,case|consequence|effect|event|issue|outcome|result|upshot,psychological feature|circumstance|physical phenomenon|phenomenon
together,RB,in concert|together|unitedly,NA
cite,VBG,abduce|adduce|advert|bring up|cite|mention|name|quote|refer|reference|summon|summons,think of|have in mind|mean|notice|acknowledge|write|compose|pen|indite|repeat|reiterate|ingeminate|iterate|restate|retell|mention|advert|bring up|cite|name|refer|testify|bear witness|prove|evidence|show|call|send for
co-respondent,JJ,,NA
scandalous,JJ,disgraceful|scandalous|shameful|shocking,
case,NN,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen
lead,VBD,chair|conduce|conduct|contribute|direct|extend|go|guide|head|lead|leave|moderate|pass|precede|result|run|take|top,produce|bring about|give rise|leave|result|lead|precede|induce|stimulate|cause|have|get|make|be|direct|promote|advance|boost|further|encourage|perform|execute|do|travel|go|move|locomote|pass|make pass|hash out|discuss|talk over
withdraw,VB,adjourn|back away|back out|bow out|call back|call in|crawfish|crawfish out|disengage|draw|draw back|draw off|move back|pull away|pull back|pull in one's horns|recall|recede|remove|retire|retreat|seclude|sequester|sequestrate|swallow|take|take away|take back|take out|unsay|withdraw,travel|go|move|locomote|discontinue|stop|cease|give up|quit|lay off|let go of|let go|release|relinquish|take|disown|renounce|repudiate|isolate|insulate|close up|close|fold|shut down|close down|retire|remove|take away|withdraw|tire|pall|weary|fatigue|jade
support,NN,accompaniment|backing|backup|bread and butter|documentation|financial backing|financial support|funding|keep|livelihood|living|musical accompaniment|reenforcement|reinforcement|support|supporting|sustenance,activity|aid|assist|assistance|help|influence|operation|military operation|validation|proof|substantiation|resource|supporting structure|part|voice|device
bill,NN,account|bank bill|bank note|banker's bill|banknote|beak|bill|billhook|broadsheet|broadside|card|circular|eyeshade|federal reserve note|flier|flyer|government note|greenback|handbill|invoice|measure|neb|nib|note|notice|peak|pecker|placard|poster|posting|throwaway|visor|vizor,legal document|legal instrument|official document|instrument|statement|financial statement|paper money|folding money|paper currency|program|programme|ad|advertisement|advertizement|advertising|advertizing|advert|sign|list|listing|hand tool|brim|mouth
world,NNP,cosmos|creation|domain|earth|earth|earthly concern|existence|globe|human beings|human race|humanity|humankind|humans|macrocosm|man|mankind|populace|public|reality|universe|world|worldly concern,natural object|class|stratum|social class|socio-economic class|experience|people|part|piece|concern|homo|man|human being|human|group|grouping
war,NNP,state of war|war|warfare,military action|action|hostility|enmity|antagonism|conflict|struggle|battle|campaign|cause|crusade|drive|movement|effort
break,VBD,bankrupt|better|breach|break|break away|break dance|break down|break in|break off|break out|break up|break-dance|bring out|bump|burst|bust|cave in|check|collapse|come apart|conk out|crack|damp|dampen|demote|develop|die|disclose|discontinue|discover|divulge|erupt|expose|fail|fall apart|fall in|founder|fracture|get around|get out|give|give away|give out|give way|go|go against|go bad|infract|intermit|interrupt|kick downstairs|let on|let out|offend|part|pause|recrudesce|relegate|reveal|ruin|separate|smash|snap off|soften|split|split up|stop|transgress|uncover|unwrap|violate|weaken|wear|wear out,end|terminate|change integrity|damage|destroy|ruin|separate|divide|disrespect|escape|get away|break loose|disperse|dissipate|scatter|spread out|express emotion|express feelings|trespass|intrude|domesticate|domesticize|domesticise|reclaim|tame|surpass|outstrip|outmatch|outgo|exceed|outdo|surmount|outperform|tell|become|go|get|change|part|split up|split|break|break up|flee|fly|take flight|collapse|fall in|cave in|give|give way|founder|deaden|blunt|stop|finish|cease|alter|vary|discontinue|give up|quit|lay off|come forth|emerge|happen|hap|go on|pass off|occur|pass|fall out|come about|take place|invalidate|annul|quash|void|avoid|nullify|delegate|designate|depute|assign|impoverish|switch|shift|appear|dance|trip the light fantastic|trip the light fantastic toe|exchange|commute|convert|modify|shoot|disunite|decay|crumble|dilapidate|detach|penetrate|perforate|interrupt|disrupt|cut off|diphthongize|diphthongise|solve|work out|figure out|puzzle out|lick|work|change state|turn|decrease|diminish|lessen|fall|injure|wound|weaken
proviso,NN,provision|proviso,condition|precondition|stipulation
enact,VBN,act out|enact|ordain|reenact,decree|act|play|represent
hostilities,NNS,belligerency|hostilities,combat|armed combat
end,VBD,cease|end|finish|stop|terminate,change|alter|modify|be|destroy|destruct
year,NNS,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
easter,NNP,east wind|easter|easter|easterly,movable feast|moveable feast|wind|air current|current of air
monday,NNP,mon|monday,weekday
april,NNP,apr|april,gregorian calendar month
rise,VBG,arise|ascend|climb|climb up|come up|develop|get up|go up|grow|heighten|jump|lift|mount|move up|originate|prove|rear|rebel|resurrect|rise|rise up|spring up|stand up|surface|turn out|uprise|wax,NA
citizen,NNP,citizen,national|subject
army,NNP,army|army|ground forces|regular army|u. s. army|united states army|us army|usa,military service|armed service|service|crowd|agency|federal agency|government agency|bureau|office|authority
unionist,NN,trade unionist|union member|unionist,worker
connolly,NNP,connolly|little mo connolly|maureen catherine connolly,
padráig,NNP,,NA
pearse,NNP,,NA
control,NN,ascendance|ascendancy|ascendence|ascendency|command|control|control condition|controller|dominance|mastery|restraint,power|powerfulness|relation|bodily process|body process|bodily function|activity|criterion|standard|condition|status|discipline|skillfulness|mechanism|spirit|disembodied spirit|economic policy
number,NN,act|bit|figure|issue|number|numeral|phone number|routine|telephone number|turn,amount|definite quantity|performance|public presentation|signal|signaling|sign|symbol|periodical|company|positive identification|size|item|grammatical category|syntactic category|merchandise|ware|product
key,JJ,cardinal|central|fundamental|key|primal,
read,VBD,interpret|learn|read|record|register|say|scan|show|study|take|translate|understand,interpret|construe|see|have|feature|talk|speak|utter|mouth|verbalize|verbalise|predict|foretell|prognosticate|call|forebode|anticipate|promise|indicate|audition|try out|understand
declaration,NNP,announcement|annunciation|contract|declaration|proclamation|resolution|resolve,statement|testimony|bid|bidding|document|written document|papers
independence,NNP,independence|independence|independency,freedom|victory|triumph
general,NNP,full general|general|superior general,general officer|head|chief|top dog|fact
post,NNP,berth|billet|c. w. post|charles william post|emily post|emily price post|mail|mail service|military post|office|place|position|post|post|postal service|situation|spot|stake|station|wiley post,position|place|military installation|occupation|business|job|line of work|line|upright|vertical|collection|aggregation|accumulation|assemblage|visual signal|communication|communicating|delivery|bringing
office,NNP,agency|authority|berth|billet|bureau|business office|federal agency|function|government agency|office|office staff|part|place|position|post|power|role|situation|spot,place of business|business establishment|administrative unit|administrative body|duty|state|staff|rite|religious rite|occupation|business|job|line of work|line
street,NNP,street,thoroughfare|environment|opportunity|chance|neighborhood|neighbourhood
countess,NNP,countess,lady|noblewoman|peeress
constance,NNP,bodensee|constance|council of constance|lake constance,council
markievicz,NNP,,NA
band,NN,band|banding|circle|dance band|dance orchestra|isthmus|lot|ring|set|stria|striation|stripe,social group|musical organization|musical organisation|musical group|stripe|streak|bar|adornment|range|strip|slip|tissue|jewelry|jewellery|belt|loop|restraint|constraint
rebel,NNS,freedom fighter|greyback|insurgent|insurrectionist|johnny|johnny reb|maverick|reb|rebel|rebel,confederate soldier|revolutionist|revolutionary|subversive|subverter|reformer|reformist|crusader|social reformer|meliorist|nonconformist|recusant
occupy,VB,absorb|busy|concern|engage|engross|fill|interest|invade|lodge in|occupy|reside|take|use up|worry,work|populate|dwell|live|inhabit|be|attack|assail|use|expend|interest|do work
stephen,NNP,sir leslie stephen|stephen,
green,NNP,cat valium|common|commons|green|green|green river|greenness|greens|honey oil|jet|k|leafy vegetable|park|putting green|putting surface|special k|super acid|super c|viridity|william green,chromatic color|chromatic colour|spectral color|spectral colour|tract|piece of land|piece of ground|parcel of land|parcel|environmentalist|conservationist|site|land site|vegetable|veggie|veg|ketamine|ketamine hydrochloride|ketalar
urge,VBN,advocate|barrack|cheer|exhort|inspire|pep up|press|recommend|root on|urge|urge on,rede|advise|counsel|propose|suggest|encourage
dubliner,NNP,dubliner,irish person|irelander
seem,VBD,appear|look|seem,be|appear|seem
rather,RB,instead|kind of|kinda|preferably|quite|rather|sooner|sort of,NA
unreal,NN,,NA
fact,NN,fact,information|info|reality|realness|realism|concept|conception|construct
happen,VBG,bechance|befall|bump|chance|come about|encounter|fall out|find|go on|hap|happen|materialise|materialize|occur|pass|pass off|take place,happen|hap|go on|pass off|occur|pass|fall out|come about|take place|chance
receive,VBD,encounter|experience|find|get|have|incur|invite|meet|obtain|pick up|receive|take in|welcome,get|acquire|change|perceive|comprehend|undergo|accept|greet|recognize|recognise|convert|have|experience|celebrate|fete|partake|touch|see|consider|reckon|view|regard
little,RB,little,NA
kill,VBN,belt down|bolt down|defeat|down|drink down|kill|obliterate|pop|pour down|shoot down|stamp out|toss off|vote down|vote out|wipe out,veto|blackball|negative|end|terminate|be|hurt|ache|suffer|overwhelm|overpower|sweep over|whelm|overcome|overtake|hit|drink|imbibe|take away|take out|exhaust|wash up|beat|tucker|tucker out|switch off|cut|turn off|turn out|destroy|destruct
damage,VBD,damage,change|alter|modify
see,VB,ascertain|assure|attend|catch|check|come across|consider|construe|control|date|determine|discover|encounter|ensure|envision|escort|examine|experience|fancy|figure|find|find out|get a line|get wind|get word|go out|go steady|go through|hear|image|insure|interpret|learn|look|meet|pick up|picture|project|realise|realize|reckon|regard|run across|run into|see|see to it|take care|take in|understand|view|visit|visualise|visualize|watch|witness,perceive|comprehend|experience|see|go through|imagine|conceive of|ideate|envisage|think|believe|consider|conceive|watch|verify|visit|call in|call|tour|care|give care|receive|take in|invite|consort|associate|affiliate|assort|debate|moot|turn over|deliberate|detect|observe|find|discover|notice|undergo|accompany|bet|wager|play|understand
bullet,NN,bullet|bullet train|fastball|heater|hummer|slug|smoke,projectile|missile|passenger train|pitch|delivery
hole,NNS,cakehole|fix|gob|golf hole|hole|hollow|jam|kettle of fish|maw|mess|muddle|pickle|trap|yap,opening|gap|playing period|period of play|play|space|natural depression|depression|defect|fault|flaw|difficulty|mouth|oral cavity|oral fissure|rima oris
royal,NNP,royal|royal stag,sail|canvas|canvass|sheet|stag
surgeon,NNP,operating surgeon|sawbones|surgeon,doctor|doc|physician|md|dr.|medico
put,VBN,arrange|assign|cast|commit|couch|frame|invest|lay|order|place|pose|position|put|redact|set|set up,move|displace|change|alter|modify|give voice|formulate|word|phrase|articulate|use|utilize|utilise|apply|employ|spend|expend|drop|estimate|gauge|approximate|guess|judge|subject|arrange|set|organize|organise
down,RB,down|downward|downwardly|downwards,NA
leader,NNS,drawing card|leader|loss leader,person|individual|someone|somebody|mortal|soul|feature
execute,VBN,accomplish|action|carry out|carry through|do|execute|fulfil|fulfill|perform|put to death|run,kill|punish|penalize|penalise|murder|slay|hit|dispatch|bump off|off|polish off|remove|complete|finish|effect|effectuate|set up|enforce|implement|apply|sign
include,VBG,admit|include|let in,see|consider|reckon|view|regard|add|permit|allow|let|countenance
wound,VBN,bruise|hurt|injure|offend|spite|wound,hurt|arouse|elicit|enkindle|kindle|evoke|fire|raise|provoke
ambulance,NN,ambulance,car|auto|automobile|machine|motorcar
shot,NN,barb|blastoff|crack|dead reckoning|dig|gibe|guess|guessing|guesswork|injection|jibe|nip|pellet|scene|shaft|shooter|shooting|shot|slam|snap|snapshot|stab|stroke,propulsion|actuation|projectile|missile|maneuver|manoeuvre|play|opportunity|chance|expert|photograph|photo|exposure|picture|pic|medical care|medical aid|small indefinite quantity|small indefinite amount|remark|comment|input|estimate|estimation|approximation|idea|sports equipment|charge|burster|bursting charge|explosive charge|blow|attempt|effort|endeavor|endeavour|try|rocket firing|rocket launching
tie,VBN,attach|bind|bond|connect|draw|link|link up|marry|splice|tie|wed,fasten|fix|secure|equal|match|equalize|equalise|equate|restrict|trammel|limit|bound|confine|throttle|shape|form|relate|officiate|fashion|forge|connect|link|tie|link up
chair,NN,chair|chairman|chairperson|chairwoman|death chair|electric chair|hot seat|president|professorship,seat|position|post|berth|office|spot|billet|place|situation|presiding officer|instrument of execution
eamon,NNP,,NA
de,NNP,de|del.|delaware|diamond state|first state,
valera,NNP,,NA
spare,VBN,dispense with|give up|part with|save|spare,refrain|forbear|exempt|relieve|free|give|use|expend
probably,RB,believably|belike|credibly|in all likelihood|in all probability|likely|plausibly|probably,
american,JJ,american,
citizen,NN,citizen,national|subject
british,JJ,british,
do,VBD,act|answer|arrange|behave|cause|coif|coiffe|coiffure|come|do|dress|execute|exercise|fare|get along|make|make out|manage|perform|practice|practise|serve|set|suffice,NA
want,VB,desire|need|require|want,be|search|seek|look for|demand|miss|lack
execute,VB,accomplish|action|carry out|carry through|do|execute|fulfil|fulfill|perform|put to death|run,kill|punish|penalize|penalise|murder|slay|hit|dispatch|bump off|off|polish off|remove|complete|finish|effect|effectuate|set up|enforce|implement|apply|sign
woman,NN,adult female|char|charwoman|cleaning lady|cleaning woman|fair sex|woman|womanhood,female|female person|adult|grownup|cleaner|class|stratum|social class|socio-economic class
retribution,NN,payback|requital|retribution|vengeance,penalty|correction|rectification|retaliation|revenge
galvanize,VBD,galvanise|galvanize|startle,shock|floor|ball over|blow out of the water|take aback|coat|surface
word,NNS,bible|book|christian bible|countersign|discussion|give-and-take|good book|holy scripture|holy writ|intelligence|logos|news|parole|password|scripture|son|tidings|watchword|word|word|word of god|word of honor,language unit|linguistic unit|statement|information|info|order|speech|speech communication|spoken communication|spoken language|language|voice communication|oral communication|promise|computer memory unit|positive identification|secret|arcanum|sacred text|sacred writing|religious writing|religious text
yeat,NNP,,NA
poem,NN,poem|verse form,literary composition|literary work
change,VBN,alter|change|commute|convert|deepen|exchange|interchange|modify|shift|switch|transfer|vary,dress|get dressed|replace|transfer|travel|go|move|locomote|change
change,VBD,alter|change|commute|convert|deepen|exchange|interchange|modify|shift|switch|transfer|vary,dress|get dressed|replace|transfer|travel|go|move|locomote|change
utterly,RB,absolutely|dead|perfectly|utterly,
election,NN,election,vote|choice|selection|option|pick|status|position|predestination|foreordination|preordination|predetermination
overwhelming,JJ,consuming|overpowering|overwhelming,
sinn,NNP,,NA
féin,NNP,,NA
republican,NNS,republican|republican|republican river,politician|politico|pol|political leader|advocate|advocator|proponent|exponent
return,VBN,bring back|come back|deliver|devolve|fall|generate|give|give back|hark back|pass|recall|reelect|refund|regress|rejoin|render|repay|retort|retrovert|return|revert|riposte|take back|turn back|yield,travel|go|move|locomote|give|change by reversal|turn|reverse|denote|refer|bring|convey|take|reciprocate|transport|carry|answer|reply|respond|reappear|re-emerge|pay|communicate|pass on|pass|pass along|put across|elect|change hands|change owners|return|produce|make|create|submit
instead,RB,alternatively|instead|or else|rather,NA
set,VBN,adjust|arrange|coif|coiffe|coiffure|congeal|correct|countersink|define|determine|do|dress|fix|fructify|gear up|go down|go under|jell|lay|lay out|limit|localise|localize|mark|place|plant|pose|position|prepare|put|ready|rig|set|set up|sic|specify|typeset,move|displace|choose|take|select|pick out|lay down|establish|make|change|alter|modify|arrange|set up|adjust|set|correct|stage|present|represent|descend|fall|go down|come down|compose|write|put|place|pose|position|lay|originate|initiate|start|solidify|print|impress|bury|sink|hone|assail|assault|set on|attack|estimate|gauge|approximate|guess|judge|equip|fit|fit out|outfit|fix|prepare|ready|gear up|reproduce|procreate|multiply|groom|neaten
dail,NNP,dail|dail eireann,house
éireann,NN,,NA
spark,VBD,activate|actuate|set off|spark|spark off|sparkle|touch off|trigger|trigger off|trip,initiate|pioneer|emit|give out|give off
conflict,NN,battle|conflict|difference|difference of opinion|dispute|engagement|fight|struggle,group action|ambivalence|ambivalency|military action|action|state|incompatibility|opposition|oppositeness|disagreement
partial,JJ,fond(p)|partial|partial(p),
victory,NN,triumph|victory,ending|conclusion|finish|success
partition,NNP,divider|division|partition|partitioning|sectionalisation|sectionalization|segmentation,structure|construction|computer memory unit|body part|separation
county,NNS,county,region|part|administrative district|administrative division|territorial division
northern,NNP,northern,middle english
remain,VB,continue|persist|remain|rest|stay|stay on,be
union,NN,brotherhood|conglutination|conjugation|coupling|join|jointure|labor union|marriage|mating|matrimony|north|pairing|sexual union|spousal relationship|sum|trade union|trades union|unification|union|union|uniting|wedlock,organization|organisation|sexual activity|sexual practice|sex|sex activity|state|marital status|healing|political unit|political entity|set|happening|occurrence|occurrent|natural event|device|combination|combining|compounding
remain,VBG,continue|persist|remain|rest|stay|stay on,be
year,NN,class|twelvemonth|year|yr,time period|period of time|period|gathering|assemblage
supporter,NNS,admirer|assistant|athletic supporter|booster|champion|friend|garter|help|helper|jock|jockstrap|patron|protagonist|sponsor|supporter|suspensor,advocate|advocator|proponent|exponent|benefactor|helper|worker|band|protective garment|man's clothing
michael,NNP,michael,archangel
collin,NNP,,NA
arthur,NNP,arthur|chester a. arthur|chester alan arthur|king arthur|president arthur,
griffith,NNP,d. w. griffith|david lewelyn wark griffith|griffith,
sign,VBN,bless|contract|ratify|sign|sign on|sign up|signal|signalise|signalize|subscribe,write|validate|formalize|formalise|contract|undertake|hire|engage|employ|communicate|intercommunicate|put|set|place|pose|position|lay|gesticulate|gesture|motion
treaty,NN,accord|pact|treaty,written agreement
follower,NNS,follower,person|individual|someone|somebody|mortal|soul|traveler|traveller
free,NNP,free|free people,people
state,NNP,body politic|commonwealth|country|department of state|dos|land|nation|province|res publica|state|state|state department|state of matter|united states department of state,administrative district|administrative division|territorial division|attribute|government|authorities|regime|political unit|political entity|chemical phenomenon|emotional state|spirit|executive department
bear,VBN,abide|accept|acquit|assume|bear|behave|birth|brook|carry|comport|conduct|contain|deliver|deport|digest|endure|expect|gestate|give birth|have|have a bun in the oven|hold|pay|put up|stand|stick out|stomach|suffer|support|take over|tolerate|turn out|wear|yield,have|feature|produce|bring forth|permit|allow|let|countenance|transport|carry|make|create|take|include|gain|take in|clear|earn|realize|realise|pull in|bring in|hold|bear|act|move|have got|give birth|deliver|birth
republican,NN,republican|republican|republican river,politician|politico|pol|political leader|advocate|advocator|proponent|exponent
constitution,NN,composition|constitution|constitution|constitution of the united states|establishment|formation|fundamental law|make-up|makeup|old ironsides|organic law|organisation|organization|physical composition|u.s. constitution|united states constitution|us constitution,law|beginning|start|commencement|property
british,NNP,british|british people|brits,nation|land|country
commonwealth,NNP,body politic|commonwealth|country|democracy|land|nation|republic|res publica|state,state|province|political unit|political entity|world organization|world organisation|international organization|international organisation|global organization|political system|form of government
republic,NN,commonwealth|democracy|republic,political system|form of government|political system|form of government
president,NN,chair|chairman|chairperson|chairwoman|chief executive|president|president|president of the united states|prexy|united states president,corporate executive|business executive|head of state|chief of state|presiding officer|academic administrator|presidency|presidentship
dougla,NNP,,NA
hyde,NNP,,NA
bomb,NNS,bomb|bomb calorimeter|dud|turkey,explosive device|weaponry|arms|implements of war|weapons system|munition|calorimeter|flop|bust|fizzle
german,JJ,german,
plane,NNS,aeroplane|airplane|carpenter's plane|plane|planer|planing machine|sheet|woodworking plane,heavier-than-air craft|shape|form|degree|level|stage|point|power tool|edge tool|hand tool
fall,VBD,accrue|come|come down|decrease|descend|devolve|diminish|fall|fall down|flow|go down|hang|lessen|light|pass|precipitate|return|settle|shine|strike,travel|go|move|locomote|change state|turn|be|fail|go wrong|miscarry|die|decease|perish|exit|pass away|expire|pass|kick the bucket|cash in one's chips|buy the farm|conk|give-up the ghost|drop dead|pop off|choke|croak|snuff it|happen|hap|go on|pass off|occur|fall out|come about|take place|yield|change magnitude|fall|sin|transgress|trespass|leave office|quit|step down|resign|change hands|change owners|return|devolve|slope|incline|pitch|change posture|change|issue|emerge|come out|come forth|go forth|egress|be born|get down|begin|get|start out|start|set about|set out|commence|disappear|vanish|go away|come
twice,RB,double|doubly|twice,NA
neutral,JJ,achromatic|electroneutral|impersonal|indifferent|inert|neutral,
sever,VBD,break up|discerp|lop|sever,separate|disunite|divide|part|cut
last,JJ,concluding|final|last|last-place|last(a)|lowest|net|terminal|utmost,
tie,NNS,affiliation|association|crosstie|draw|link|linkup|necktie|railroad tie|sleeper|standoff|tie|tie beam|tie-in|tie-up,neckwear|relationship|equality|equivalence|equation|par|beam|fastener|fastening|holdfast|fixing|finish|slur|brace|bracing|cord
neglect,NNP,carelessness|disregard|disuse|neglect|neglectfulness|negligence|nonperformance,inattention|decline|declination|mistreatment|carelessness|sloppiness|nonaccomplishment|nonachievement
conquest,NN,conquering|conquest|seduction|subjection|subjugation,capture|gaining control|seizure|success
isolation,NN,closing off|isolation,separation|alienation|disaffection|estrangement|defense mechanism|defense reaction|defence mechanism|defence reaction|defense|defence|non-engagement|nonparticipation|non-involvement
take,VBN,accept|acquire|admit|adopt|aim|ask|assume|bring|call for|carry|charter|choose|claim|conduct|consider|consume|contain|contract|convey|deal|demand|direct|drive|engage|exact|fill|film|get|get hold of|guide|have|hire|hold|ingest|involve|lead|learn|lease|look at|make|necessitate|need|occupy|pack|pick out|postulate|read|remove|rent|require|select|shoot|strike|study|submit|subscribe|subscribe to|take|take aim|take away|take in|take on|take up|train|use up|withdraw,NA
toll,NN,bell|cost|price|toll,fee|value|sound
parochial,JJ,insular|parochial,
narrow-minded,JJ,narrow|narrow-minded|shockable,
approach,NN,access|advance|approach|approach path|approach shot|approaching|attack|coming|feeler|glide path|glide slope|overture|plan of attack,conceptualization|conceptualisation|formulation|motion|movement|move|way|air lane|flight path|airway|skyway|suggestion|proposition|proffer|timing|similarity|golf stroke|golf shot|swing
affair,NNS,affair|affaire|amour|function|intimacy|involvement|liaison|matter|occasion|social function|social occasion|thing,concern|sexual relationship|social event
content,NN,capacity|cognitive content|content|contentedness|contents|depicted object|mental object|message|subject|subject matter|substance,collection|aggregation|accumulation|assemblage|communication|proportion|volume|cognition|knowledge|noesis|acceptance|thing
let,VB,allow|countenance|get|have|lease|let|permit|rent,induce|stimulate|cause|have|get|make|accept|consent|go for|leave|leave alone|leave behind|let alone|give
heritage,NN,heritage|inheritance,practice|attribute|transferred property|transferred possession|acquisition
decay,NN,decay|decline|decomposition|disintegration|radioactive decay,natural process|natural action|action|activity|decrease|decrement|organic phenomenon|unsoundness|nuclear reaction
case,NNS,case|caseful|casing|causa|cause|character|compositor's case|display case|eccentric|event|example|face|font|fount|grammatical case|guinea pig|instance|lawsuit|pillow slip|pillowcase|sheath|shell|showcase|slip|subject|suit|type|typeface|typesetter's case|vitrine,happening|occurrence|occurrent|natural event|circumstance|proceeding|legal proceeding|proceedings|fact|container|person|individual|someone|somebody|mortal|soul|problem|argument|statement|containerful|grammatical category|syntactic category|state of mind|frame of mind|adult|grownup|type|covering|natural covering|cover|housing|framework|frame|receptacle|bed linen
modern,JJ,advanced|forward-looking|innovative|mod|modern|modern|modernistic|new,
erect,VBN,erect|put up|raise|rear|set up,construct|build|make|raise|lift|elevate|get up|bring up
place,NN,berth|billet|blank space|home|lieu|office|piazza|place|plaza|position|post|property|seat|shoes|situation|space|spot|station|stead|topographic point,point|geographical area|geographic area|geographical region|geographic region|cognition|knowledge|noesis|vicinity|locality|neighborhood|neighbourhood|neck of the woods|function|office|part|role|situation|position|residence|abode|occupation|business|job|line of work|line|social station|social status|social rank|rank|space|passage|condition|status|public square|square|item|area|expanse|surface area
be,VBP,be|comprise|constitute|cost|embody|equal|exist|follow|live|make up|personify|represent,NA
admire,VBN,admire|look up to,respect|esteem|value|prize|prise|look
alway,RB,,NA
look,VBN,appear|attend|await|bank|bet|calculate|count|depend|expect|face|front|look|reckon|rely|search|see|seem|swear|take care|wait,be|examine|see|lie|care|give care|convey|match|fit|correspond|check|jibe|gibe|tally|agree|trust
friendship,NN,friendly relationship|friendship,relationship
gradually,RB,bit by bit|gradually|step by step,
define,VB,define|delimit|delimitate|delineate|determine|fix|limit|set|specify,be|specify|set|determine|define|fix|limit|characterize|characterise|show|choose|take|select|pick out
european,JJ,european,
nation,NN,body politic|carry amelia moore nation|carry nation|commonwealth|country|land|nation|nation|res publica|state,political unit|political entity|people|confederation|confederacy|federation
join,VBD,conjoin|connect|fall in|get together|join|link|link up|unite,NA
european,NNP,european,inhabitant|habitant|dweller|denizen|indweller
millennium,NN,millenary|millennium,time period|period of time|period|doctrine|philosophy|philosophical system|school of thought|ism|anniversary|day of remembrance
mark,VBN,brand|check|check off|commemorate|cross off|cross out|denounce|differentiate|distinguish|grade|label|mark|mark off|nock|note|notice|pit|pock|punctuate|scar|score|set|stigmatise|stigmatize|strike off|strike out|tag|tick|tick off,attach|bespeak|betoken|indicate|point|signal|qualify|characterize|characterise|observe|celebrate|keep|change|alter|modify|label|deface|disfigure|blemish|notch|lay down|establish|make|record|enter|put down|take away|take out|verify|measure|evaluate|valuate|assess|appraise|value|add
restoration,NN,refurbishment|regaining|renovation|restitution|restoration|restoration|return,repair|fix|fixing|fixture|mend|mending|reparation|acquisition|improvement|melioration|artifact|artefact|model|simulation
fine,NN,amercement|fine|mulct,penalty
statue,NNS,statue,sculpture
monument,NNS,memorial|monument|repository,structure|construction|site|land site|burial chamber|sepulcher|sepulchre|sepulture
artist,NNS,artist|creative person,creator
work,VBZ,act|act upon|bring|crop|cultivate|do work|exercise|exploit|ferment|figure out|forge|form|function|go|influence|knead|lick|make|make for|mold|mould|operate|play|process|put to work|puzzle out|run|shape|solve|sour|turn|work|work on|work out|wreak,succeed|win|come through|bring home the bacon|deliver the goods|transform|transmute|transubstantiate|work|put to work|pass|go|proceed|move|displace|make|create|use|utilize|utilise|apply|employ|fix|prepare|set up|ready|gear up|set|be|affect|impact|bear upon|bear on|touch on|touch|operate|run|manage|deal|care|handle|stimulate|excite|stir|capture|enamour|trance|catch|becharm|enamor|captivate|beguile|charm|fascinate|bewitch|entrance|enchant|create from raw material|create from raw stuff|manipulate|understand|convert|change state|turn|become|get
more,RBR,more|to a greater extent,
successful,JJ,successful,
celebration,NNS,celebration|festivity|jubilation|solemnisation|solemnization,affair|occasion|social occasion|function|social function|diversion|recreation|ritual
choose,VBD,choose|opt|pick out|prefer|select|take,decide|make up one's mind|determine|evaluate|pass judgment|judge
dynamic,JJ,active|dynamic|dynamical,
mary,NNP,blessed virgin|madonna|mary|the virgin|virgin mary,
